DATE,VALUE
1896-10-26,51.72
1896-10-27,51.22
1896-10-28,50.80
1896-10-29,49.59
1896-10-30,51.42
1896-10-31,51.98
1896-11-02,53.12
1896-11-04,54.58
1896-11-05,53.72
1896-11-06,55.07
1896-11-07,55.94
1896-11-09,56.52
1896-11-10,56.68
1896-11-11,56.10
1896-11-12,56.38
1896-11-13,55.67
1896-11-14,55.75
1896-11-16,55.09
1896-11-17,54.99
1896-11-18,55.03
1896-11-19,55.04
1896-11-20,54.62
1896-11-21,54.23
1896-11-23,54.21
1896-11-24,54.35
1896-11-25,54.03
1896-11-27,53.76
1896-11-28,53.50
1896-11-30,52.76
1896-12-01,53.64
1896-12-02,53.83
1896-12-03,54.23
1896-12-04,54.35
1896-12-05,54.13
1896-12-07,53.70
1896-12-08,53.74
1896-12-09,53.62
1896-12-10,53.28
1896-12-11,53.30
1896-12-12,53.24
1896-12-14,52.24
1896-12-15,51.95
1896-12-16,52.32
1896-12-17,52.75
1896-12-18,49.98
1896-12-19,50.68
1896-12-21,51.57
1896-12-22,50.78
1896-12-23,50.84
1896-12-24,51.19
1896-12-28,51.00
1896-12-29,51.61
1896-12-30,51.51
1896-12-31,51.33
1897-01-02,51.71
1897-01-04,51.24
1897-01-05,51.77
1897-01-06,51.85
1897-01-07,52.16
1897-01-08,51.94
1897-01-09,52.07
1897-01-11,51.67
1897-01-12,52.13
1897-01-13,52.08
1897-01-14,52.39
1897-01-15,52.99
1897-01-16,53.72
1897-01-18,53.57
1897-01-19,53.91
1897-01-20,53.46
1897-01-21,53.01
1897-01-22,52.80
1897-01-23,52.48
1897-01-25,52.22
1897-01-26,52.81
1897-01-27,52.67
1897-01-28,52.63
1897-01-29,52.77
1897-01-30,53.57
1897-02-01,53.46
1897-02-02,53.09
1897-02-03,53.22
1897-02-04,52.92
1897-02-05,52.81
1897-02-06,52.77
1897-02-08,52.53
1897-02-09,52.61
1897-02-10,52.66
1897-02-11,52.40
1897-02-13,52.06
1897-02-15,51.93
1897-02-16,52.62
1897-02-17,52.38
1897-02-18,52.06
1897-02-19,52.13
1897-02-20,52.25
1897-02-23,52.38
1897-02-24,52.18
1897-02-25,51.97
1897-02-26,52.83
1897-02-27,53.18
1897-03-01,53.15
1897-03-02,53.40
1897-03-03,54.07
1897-03-04,53.32
1897-03-05,53.38
1897-03-06,53.19
1897-03-08,53.36
1897-03-09,53.07
1897-03-10,53.11
1897-03-11,53.51
1897-03-12,53.82
1897-03-13,53.96
1897-03-15,54.00
1897-03-16,54.21
1897-03-17,53.99
1897-03-18,53.95
1897-03-19,53.44
1897-03-20,53.40
1897-03-22,53.16
1897-03-23,52.25
1897-03-24,51.88
1897-03-25,51.40
1897-03-26,51.21
1897-03-27,50.58
1897-03-29,49.75
1897-03-30,50.58
1897-03-31,49.77
1897-04-01,50.21
1897-04-02,50.58
1897-04-03,50.46
1897-04-05,49.87
1897-04-06,50.10
1897-04-07,50.12
1897-04-08,50.71
1897-04-09,50.34
1897-04-10,50.15
1897-04-12,49.78
1897-04-13,50.52
1897-04-14,50.18
1897-04-15,49.62
1897-04-17,49.28
1897-04-19,48.12
1897-04-20,49.15
1897-04-21,49.81
1897-04-22,49.59
1897-04-23,49.64
