Price,Close,High,Low,Open,Volume
Ticker,^DJT,^DJT,^DJT,^DJT,^DJT
Date,,,,,
1992-01-02,1342.0999755859375,1357.6199951171875,1330.9000244140625,1357.5999755859375,4140000
1992-01-03,1350.699951171875,1354.6300048828125,1342.300048828125,1342.300048828125,4590000
1992-01-06,1365.5,1366.219970703125,1349.219970703125,1350.699951171875,4880000
1992-01-07,1383.0,1383.030029296875,1361.550048828125,1365.5,5700000
1992-01-08,1380.4000244140625,1396.489990234375,1374.25,1383.0,7060000
1992-01-09,1367.5,1385.4599609375,1358.1800537109375,1380.4000244140625,6920000
1992-01-10,1351.800048828125,1367.1500244140625,1348.8399658203125,1367.1500244140625,4980000
1992-01-13,1364.199951171875,1366.4100341796875,1346.4100341796875,1351.800048828125,3690000
1992-01-14,1387.300048828125,1387.3299560546875,1363.4200439453125,1364.199951171875,5410000
1992-01-15,1431.4000244140625,1431.800048828125,1387.52001953125,1387.52001953125,6620000
1992-01-16,1445.800048828125,1449.550048828125,1431.050048828125,1431.4000244140625,7380000
1992-01-17,1421.9000244140625,1446.3800048828125,1420.030029296875,1445.800048828125,5170000
1992-01-20,1411.4000244140625,1422.0899658203125,1410.1300048828125,1421.9000244140625,2840000
1992-01-21,1391.0999755859375,1411.81005859375,1388.449951171875,1411.4000244140625,3860000
1992-01-22,1407.0999755859375,1407.3199462890625,1390.3199462890625,1391.0999755859375,3770000
1992-01-23,1384.699951171875,1409.18994140625,1379.6700439453125,1407.0999755859375,4800000
1992-01-24,1362.300048828125,1384.719970703125,1362.2900390625,1384.699951171875,3840000
1992-01-27,1356.300048828125,1374.25,1356.1300048828125,1362.300048828125,3170000
1992-01-28,1356.300048828125,1364.9100341796875,1352.949951171875,1356.300048828125,4630000
1992-01-29,1348.699951171875,1371.449951171875,1346.0400390625,1356.300048828125,5220000
1992-01-30,1368.300048828125,1370.52001953125,1347.3499755859375,1348.699951171875,4400000
1992-01-31,1354.300048828125,1369.9599609375,1352.949951171875,1368.300048828125,5550000
1992-02-03,1362.5,1362.8599853515625,1349.5899658203125,1354.300048828125,3630000
1992-02-04,1368.300048828125,1368.4599609375,1352.3900146484375,1362.5,4200000
1992-02-05,1383.4000244140625,1397.050048828125,1368.27001953125,1368.300048828125,5420000
1992-02-06,1392.199951171875,1392.75,1383.030029296875,1383.4000244140625,4560000
1992-02-07,1383.199951171875,1402.280029296875,1373.510009765625,1392.199951171875,3610000
1992-02-10,1388.800048828125,1389.5699462890625,1378.739990234375,1383.199951171875,3480000
1992-02-11,1390.300048828125,1395.550048828125,1384.1600341796875,1388.800048828125,6880000
1992-02-12,1405.5999755859375,1406.760009765625,1389.010009765625,1390.300048828125,5450000
1992-02-13,1386.199951171875,1406.199951171875,1382.8499755859375,1405.5999755859375,4580000
1992-02-14,1406.199951171875,1409.18994140625,1379.300048828125,1386.199951171875,3690000
1992-02-18,1420.0,1430.8699951171875,1405.4599609375,1406.199951171875,5840000
1992-02-19,1424.9000244140625,1428.6199951171875,1416.8499755859375,1420.0,3900000
1992-02-20,1467.699951171875,1467.8599853515625,1425.260009765625,1425.300048828125,6390000
1992-02-21,1466.9000244140625,1472.719970703125,1460.010009765625,1467.699951171875,4260000
1992-02-24,1451.800048828125,1466.9300537109375,1448.239990234375,1466.9000244140625,3190000
1992-02-25,1430.0999755859375,1451.7900390625,1421.3399658203125,1451.7900390625,4660000
1992-02-26,1443.800048828125,1445.81005859375,1430.1199951171875,1430.1199951171875,4110000
1992-02-27,1432.199951171875,1444.68994140625,1429.3699951171875,1443.800048828125,2560000
1992-02-28,1428.300048828125,1436.8499755859375,1421.3399658203125,1432.199951171875,2670000
1992-03-02,1443.0,1444.1300048828125,1423.77001953125,1428.300048828125,3230000
1992-03-03,1457.4000244140625,1460.3900146484375,1438.9000244140625,1443.0,6050000
1992-03-04,1455.699951171875,1465.4300537109375,1455.530029296875,1457.4000244140625,4910000
1992-03-05,1438.0,1455.530029296875,1435.1600341796875,1455.5,3630000
1992-03-06,1413.0999755859375,1438.1500244140625,1412.9300537109375,1438.0,3470000
1992-03-09,1404.9000244140625,1414.989990234375,1403.2099609375,1413.0999755859375,2520000
1992-03-10,1408.0999755859375,1416.1099853515625,1404.9000244140625,1404.9000244140625,3170000
1992-03-11,1390.0,1408.260009765625,1386.2099609375,1408.0999755859375,4130000
1992-03-12,1393.0999755859375,1395.9300537109375,1385.280029296875,1390.0,3840000
1992-03-13,1400.800048828125,1402.469970703125,1393.31005859375,1393.31005859375,2510000
1992-03-16,1395.699951171875,1401.3499755859375,1390.699951171875,1400.800048828125,1640000
1992-03-17,1408.800048828125,1409.010009765625,1395.739990234375,1395.739990234375,3890000
1992-03-18,1401.699951171875,1410.1300048828125,1398.9200439453125,1408.800048828125,3610000
1992-03-19,1420.800048828125,1422.6500244140625,1401.3499755859375,1401.699951171875,4120000
1992-03-20,1433.6700439453125,1433.6700439453125,1420.219970703125,1420.800048828125,4950000
1992-03-23,1417.0,1434.0400390625,1414.800048828125,1433.699951171875,2730000
1992-03-24,1397.0999755859375,1420.030029296875,1396.6700439453125,1417.0,3410000
1992-03-25,1390.9000244140625,1399.47998046875,1390.8800048828125,1397.0999755859375,4110000
1992-03-26,1392.0,1399.0999755859375,1390.3199462890625,1390.9000244140625,3040000
1992-03-27,1379.699951171875,1391.8199462890625,1377.06005859375,1391.800048828125,2090000
1992-03-30,1372.4000244140625,1380.7900390625,1371.260009765625,1379.699951171875,1970000
1992-03-31,1383.800048828125,1389.3900146484375,1370.1400146484375,1372.4000244140625,2430000
1992-04-01,1381.199951171875,1383.780029296875,1366.969970703125,1383.780029296875,2740000
1992-04-02,1366.5999755859375,1385.4599609375,1364.5400390625,1381.199951171875,2710000
1992-04-03,1348.300048828125,1366.219970703125,1344.5400390625,1366.199951171875,2870000
1992-04-06,1353.300048828125,1354.260009765625,1344.1700439453125,1348.300048828125,3570000
1992-04-07,1312.199951171875,1354.449951171875,1311.2900390625,1353.300048828125,5700000
1992-04-08,1301.5999755859375,1312.4100341796875,1290.550048828125,1312.199951171875,6230000
1992-04-09,1338.5999755859375,1340.81005859375,1301.5699462890625,1301.5999755859375,4180000
1992-04-10,1347.4000244140625,1354.0699462890625,1338.75,1338.800048828125,3550000
1992-04-13,1337.300048828125,1347.3499755859375,1331.6500244140625,1347.3499755859375,3190000
1992-04-14,1365.5,1372.3800048828125,1337.0699462890625,1337.300048828125,5400000
1992-04-15,1395.699951171875,1395.739990234375,1365.280029296875,1365.5,5420000
1992-04-16,1396.9000244140625,1397.050048828125,1384.530029296875,1395.699951171875,5000000
1992-04-20,1371.5999755859375,1396.8599853515625,1366.4100341796875,1396.8599853515625,3690000
1992-04-21,1354.800048828125,1373.3199462890625,1352.3900146484375,1371.5999755859375,3530000
1992-04-22,1343.5999755859375,1355.18994140625,1340.06005859375,1354.800048828125,5150000
1992-04-23,1375.800048828125,1376.8699951171875,1343.6099853515625,1343.6099853515625,6360000
1992-04-24,1360.199951171875,1379.1099853515625,1359.489990234375,1375.800048828125,4230000
1992-04-27,1350.199951171875,1364.719970703125,1350.1500244140625,1360.199951171875,5400000
1992-04-28,1353.300048828125,1358.739990234375,1346.7900390625,1350.199951171875,4260000
1992-04-29,1367.5,1372.760009765625,1352.949951171875,1353.300048828125,5270000
1992-04-30,1372.5699462890625,1372.5699462890625,1360.239990234375,1367.5,4760000
1992-05-01,1359.5,1381.9100341796875,1356.3199462890625,1372.5999755859375,4040000
1992-05-04,1380.800048828125,1384.3399658203125,1359.489990234375,1359.5,2900000
1992-05-05,1394.300048828125,1400.5999755859375,1378.550048828125,1380.800048828125,4370000
1992-05-06,1407.699951171875,1411.25,1393.8699951171875,1394.300048828125,4360000
1992-05-07,1395.0,1411.06005859375,1391.43994140625,1407.699951171875,17570000
1992-05-08,1399.699951171875,1406.199951171875,1391.260009765625,1395.0,3080000
1992-05-11,1402.300048828125,1403.77001953125,1399.0999755859375,1399.699951171875,2910000
1992-05-12,1407.5,1407.510009765625,1397.97998046875,1402.300048828125,4250000
1992-05-13,1405.300048828125,1407.8800048828125,1397.050048828125,1407.5,3710000
1992-05-14,1376.5,1406.949951171875,1375.56005859375,1405.300048828125,4290000
1992-05-15,1374.0999755859375,1380.7900390625,1369.3900146484375,1376.5,2730000
1992-05-18,1372.5999755859375,1380.22998046875,1371.6400146484375,1374.0999755859375,3110000
1992-05-19,1373.0999755859375,1374.0699462890625,1362.2900390625,1372.5999755859375,3020000
1992-05-20,1373.300048828125,1376.31005859375,1368.27001953125,1373.0999755859375,3450000
1992-05-21,1372.800048828125,1377.06005859375,1367.9000244140625,1373.300048828125,4250000
1992-05-22,1376.5,1378.9200439453125,1371.260009765625,1372.800048828125,2340000
1992-05-26,1360.800048828125,1377.06005859375,1357.25,1376.5,4190000
1992-05-27,1359.699951171875,1365.0999755859375,1357.43994140625,1360.800048828125,3390000
1992-05-28,1347.699951171875,1361.550048828125,1340.06005859375,1359.699951171875,8110000
1992-05-29,1370.0999755859375,1374.43994140625,1347.719970703125,1347.719970703125,4340000
1992-06-01,1376.0999755859375,1376.1199951171875,1364.719970703125,1370.0999755859375,3890000
1992-06-02,1371.5999755859375,1376.1199951171875,1368.0899658203125,1376.0999755859375,3200000
1992-06-03,1373.0999755859375,1381.3499755859375,1368.27001953125,1371.5999755859375,3410000
1992-06-04,1377.0999755859375,1382.0999755859375,1372.93994140625,1373.0999755859375,3070000
1992-06-05,1387.9000244140625,1388.8299560546875,1377.800048828125,1377.800048828125,12200000
1992-06-08,1388.5999755859375,1389.760009765625,1385.280029296875,1387.9000244140625,4040000
1992-06-09,1360.800048828125,1389.010009765625,1360.239990234375,1388.5999755859375,3650000
1992-06-10,1335.0,1361.9200439453125,1334.6400146484375,1360.800048828125,3940000
1992-06-11,1331.800048828125,1335.760009765625,1320.6300048828125,1335.0,5050000
1992-06-12,1346.199951171875,1350.1500244140625,1333.7099609375,1333.7099609375,3920000
1992-06-15,1343.800048828125,1349.5899658203125,1339.1300048828125,1346.199951171875,3680000
1992-06-16,1342.699951171875,1351.4599609375,1340.6199951171875,1343.800048828125,3930000
1992-06-17,1318.199951171875,1342.489990234375,1317.6400146484375,1342.489990234375,3530000
1992-06-18,1304.0,1319.3199462890625,1303.81005859375,1318.199951171875,3420000
1992-06-19,1303.4000244140625,1311.2900390625,1302.68994140625,1304.0,4180000
1992-06-22,1295.0,1303.43994140625,1289.800048828125,1303.4000244140625,3350000
1992-06-23,1288.300048828125,1296.7099609375,1285.1300048828125,1295.0,3390000
1992-06-24,1293.5,1297.0899658203125,1286.25,1288.300048828125,3350000
1992-06-25,1284.93994140625,1298.949951171875,1284.93994140625,1293.5,3670000
1992-06-26,1277.699951171875,1286.25,1275.969970703125,1284.9000244140625,1970000
1992-06-29,1316.5,1316.52001953125,1277.6500244140625,1277.699951171875,3580000
1992-06-30,1315.800048828125,1331.8399658203125,1315.2099609375,1316.5,4340000
1992-07-01,1341.3699951171875,1341.3699951171875,1317.260009765625,1317.300048828125,4700000
1992-07-02,1324.699951171875,1348.469970703125,1323.4300537109375,1341.4000244140625,4740000
1992-07-06,1321.199951171875,1328.6600341796875,1317.449951171875,1324.699951171875,3070000
1992-07-07,1314.5,1327.72998046875,1314.0899658203125,1321.199951171875,4410000
1992-07-08,1289.5999755859375,1314.0899658203125,1281.949951171875,1314.0899658203125,4560000
1992-07-09,1301.5999755859375,1307.9200439453125,1288.489990234375,1289.5999755859375,4230000
1992-07-10,1303.300048828125,1306.239990234375,1295.219970703125,1301.5999755859375,2620000
1992-07-13,1309.0,1310.719970703125,1301.3800048828125,1303.300048828125,2470000
1992-07-14,1311.300048828125,1317.260009765625,1309.0400390625,1309.0400390625,3510000
1992-07-15,1317.5999755859375,1326.6099853515625,1311.8499755859375,1311.9000244140625,4310000
1992-07-16,1312.699951171875,1322.239990234375,1311.510009765625,1317.5999755859375,5000000
1992-07-17,1302.9000244140625,1312.6600341796875,1295.800048828125,1312.6600341796875,3450000
1992-07-20,1284.9000244140625,1302.5,1282.0,1302.5,3780000
1992-07-21,1291.800048828125,1296.3699951171875,1284.489990234375,1284.9000244140625,3760000
1992-07-22,1270.9000244140625,1291.9599609375,1267.06005859375,1291.800048828125,3970000
1992-07-23,1269.699951171875,1272.22998046875,1261.31005859375,1270.9000244140625,2940000
1992-07-24,1273.199951171875,1273.760009765625,1262.6500244140625,1269.699951171875,3220000
1992-07-27,1276.800048828125,1283.530029296875,1273.0,1273.199951171875,2490000
1992-07-28,1295.0,1296.56005859375,1273.18994140625,1276.800048828125,4450000
1992-07-29,1310.0,1317.06005859375,1295.030029296875,1295.030029296875,5150000
1992-07-30,1328.75,1328.75,1309.2099609375,1310.0,4240000
1992-07-31,1317.5999755859375,1328.3699951171875,1316.8699951171875,1328.3699951171875,3100000
1992-08-03,1314.800048828125,1317.449951171875,1310.550048828125,1317.449951171875,2430000
1992-08-04,1310.9000244140625,1319.3599853515625,1309.5899658203125,1314.800048828125,2420000
1992-08-05,1291.199951171875,1310.9300537109375,1291.199951171875,1310.9000244140625,4250000
1992-08-06,1284.0999755859375,1292.9200439453125,1283.530029296875,1291.199951171875,3300000
1992-08-07,1277.4000244140625,1291.010009765625,1277.2099609375,1284.0999755859375,2930000
1992-08-10,1273.199951171875,1278.1700439453125,1272.0400390625,1277.4000244140625,2560000
1992-08-11,1265.300048828125,1276.06005859375,1263.6099853515625,1273.199951171875,3320000
1992-08-12,1249.5999755859375,1267.8199462890625,1248.0899658203125,1265.300048828125,4080000
1992-08-13,1244.0999755859375,1255.3699951171875,1235.8199462890625,1249.5999755859375,5220000
1992-08-14,1257.300048828125,1258.4300537109375,1244.260009765625,1244.300048828125,4730000
1992-08-17,1272.4000244140625,1275.8699951171875,1256.9000244140625,1257.300048828125,3750000
1992-08-18,1267.5999755859375,1273.949951171875,1266.47998046875,1272.4000244140625,3860000
1992-08-19,1258.0999755859375,1272.22998046875,1255.93994140625,1267.5999755859375,4820000
1992-08-20,1256.5,1259.199951171875,1252.300048828125,1258.0999755859375,4550000
1992-08-21,1237.5999755859375,1262.4599609375,1233.719970703125,1256.5,3630000
1992-08-24,1217.800048828125,1237.550048828125,1216.0899658203125,1237.550048828125,3680000
1992-08-25,1216.5,1220.68994140625,1209.5799560546875,1217.800048828125,4230000
